SIZE,AVERAGE,BEST,WORST
655,106181,654,214185
206,10554,205,21115
701,127976,700,245350
673,118859,672,226128
402,41484,401,80601
567,80460,566,160461
385,35986,384,73920
21,134,20,210
604,91677,603,182106
622,94132,621,193131
522,68577,521,135981
876,196249,875,383250
716,132692,715,255970
494,62099,493,121771
419,44022,418,87571
151,6004,150,11325
636,100299,635,201930
432,48456,431,93096
804,161180,803,322806
435,46746,434,94395
62,979,61,1891
265,18780,264,34980
117,3589,116,6786
282,18860,281,39621
509,65879,508,129286
219,11996,218,23871
427,48565,426,90951
233,13861,232,27028
25,151,24,300
110,3083,109,5995
51,805,50,1275
559,78935,558,155961
250,15037,249,31125
904,204842,903,408156
739,140977,738,272691
226,12872,225,25425
676,113845,675,228150
380,35774,379,72010
126,3923,125,7875
441,51105,440,97020
469,52633,468,109746
577,78879,576,166176
727,136421,726,263901
317,27266,316,50086
302,23189,301,45451
271,20090,270,36585
173,6867,172,14878
452,48707,451,101926
437,48510,436,95266
255,16234,254,32385
109,2966,108,5886
900,202942,899,404550
460,52031,459,105570
998,246607,997,497503
44,546,43,946
688,119777,687,236328
258,16929,257,33153
682,116158,681,232221
203,10599,202,20503
352,30381,351,61776
794,150106,793,314821
353,29847,352,62128
476,55692,475,113050
274,20718,273,37401
312,24999,311,48516
395,39031,394,77815
615,89355,614,188805
854,185183,853,364231
345,30685,344,59340
653,108535,652,212878
239,13307,238,28441
222,11661,221,24531
646,103563,645,208335
823,165463,822,338253
229,13784,228,26106
863,190430,862,371953
635,99674,634,201295
911,207163,910,414505
215,11075,214,23005
610,88805,609,185745
153,6067,152,11628
772,151577,771,297606
193,9844,192,18528
76,1645,75,2850
119,3639,118,7021
984,246701,983,483636
592,87295,591,174936
740,136312,739,273430
237,14253,236,27966
414,41946,413,85491
277,18672,276,38226
957,235214,956,457446
582,82901,581,169071
956,232605,955,456490
520,68122,519,134940
176,7606,175,15400
541,72491,540,146070
12,43,11,66
264,17368,263,34716
946,228313,945,446985
